PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, 
4668,"Laub, R.S., W. A. Oliver Jr., W. J. Sando, S. D. Cairns, A. G. Coates, F.M. Bayer and J. E. Sorauf",1984,"<i>Linchenaria</i> Winchell & Schuchert, 1895, <i>Lamottia</i> Raymond, 1924 and the early history of the tabulate corals <i>in</i> the Paleobiology and Geology of the Cnidaria. Proceedings of the Fourth International Symposium on Fossil Cnidaria held in Washington, DC, U.S.A., August, 1983",Palaeontographica Americana,Palaeontographica Americana,54,54,160,12,, 
4712,"Cisne, J.L.",1975,no article title available,Fossil and Strata,Fossil and Strata,4,4,48,,, 
4720,"Erben, H.K.",1966,no article title available,Neus Jahrb.Geologie U.Palaontologie Abh.,Neus Jahrb.Geologie U.Palaontologie Abh.,125,,184,188,, 
1461,"Walcott, C.D.",1918,no article title available,Smithsonian Misc. Colln.,Smithsonian Misc. Colln.,67,4,147,148,, 
9046,"Teichert, C. and B. Kummel",1973,"Nautiloid cephalopods from the Julfa beds, Upper Permian, Northwest Iran",Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,144,6,414,,, 
9164,"Miller, S.A.",1874,no article title available,Cincinnati Quart.Jour.Sci.,Cincinnati Quart.Jour.Sci.,1,2,123,,, 
7279,"Kier, P.M.",1962,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,144,3,129,130,, 
7539,"Rolfe, W.D.I.",1962,Two new arthropod carapaces from the Burgess Shale (Middle Cambrian) of Canada,"Breviora,","Breviora,",160,160,1,,, 
7544,"Conway Morris, S.",1979,no article title available,"Ann. Review of Ecology and Systematics,","Ann. Review of Ecology and Systematics,",10,,333,,, 
7177,"White, C.A.",1880,no article title available,"12th Annual Rept.,U.S.Geol.and Geog.Survey of the Territories, pt.1","12th Annual Rept.,U.S.Geol.and Geog.Survey of the",,,149,,, 
7004,"Macurda, D.B.",1964,no article title available,Jour.Paleontology,Jour.Paleontology,38,2,367,377,, 
7042,"Buckman, J.",1881,no article title available,"Quart. Journ. Geol. Soc.,","Quart. Journ. Geol. Soc.,",37,,61,,, 
8943,"Jackson, R.T.",1899,no article title available,"Mem. Boston Soc. Nat. Hist.,","Mem. Boston Soc. Nat. Hist.,",5,4,134,6,, 
7906,"Bowen, Z.P.",1966,Intraspecific variation in the brachial cardinalia of Atrypa reticularis,"J. of Paleontology,","J. of Paleontology,",40,5,1017,1021,, 
9493,"Theokritoff, G.",2007,no article title available,"NORTHEASTERN GEO.ENV.SCI.,","NORTHEASTERN GEO.ENV.SCI.,",29,3,178,,, 
10380,"Wachsmuth, C. and Frank Springer",1897,no article title available,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,21,,557,,, 
5006,"Arnold, B.W. and H.L. Clark",1934,Some additional fossil Echini from Jamaica.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,54,2,156,,, 
1718,"Shaw, A.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,6,1321,,, 
3916,"Kummel, B. and Steele, G.",1962,no article title available,"Journal of Paleontology,","Journal of Paleontology,",36,4,681,699,, 
4813,"Petuch, E.J.",1988,no article title available,Jour. Paleomalacology,Jour. Paleomalacology,1,2,36,,, 
14132,"Willard, B. and P.E. Raymond",1928,The Brachiopods of the ottosee and holston formations of Tennessee and Virginia and The Brachiopods of the lenoir and athens formations of Tennessee and Virginia ,,,,,,,, 
2877,"Moore, R.C.",1966,no article title available,Treatise on Invert. Paleo. Part U,Treatise on Invert. Paleo. Part U,,,,7,, 
875,"Rudwick, M.J.S.",1965,no article title available,Palaeont.Zeitschr.,Palaeont.Zeitschr.,39,3,143,144,, 
2372,"Rolfe, W.D.I.",1962,no article title available,Jour.Paleontology,Jour.Paleontology,36,5,914,,, 
2375,"Sprinkle, J.T. and Kolata, D.R.",1982,no article title available,Kansas Univ. Paleont. Contr. Mon.,Kansas Univ. Paleont. Contr. Mon.,1,1,211,20,, 
2569,"Allmon, W.D.",1990,no article title available,"Bulls. Am. Paleontology,","Bulls. Am. Paleontology,",99,335,,45,, 
1188,"Meek, F.B. and A.H. Worthen",1861,Descriptions of new paleozoic fossils from Illinois and Iowa,Acad.Nat.Sci.Philadelphia Proc. ser.1,Acad.Nat.Sci.Philadelphia Proc. ser.1,13,,129,,, 
1477,"Raymond, P.E.",1920,no article title available,Connecticut Acad. Arts and Sci. Mem.,Connecticut Acad. Arts and Sci. Mem.,7,,79,,, 
1742,"Crosby, W.O.",1900,no article title available,Occasional Papers of the Boston Society of Natural History,Occ. Papers Boston Soc. N. H.,1,,674,679,, 
889,"Bell, B.M. and J.T. Sprinkle",1978,no article title available,Jour.Paleontology,Jour.Paleontology,52,2,247,,, 
5411,"D'Orbigny, A.",1844,no article title available,Paleontologie Francaise-Terrains Jurassiques,Paleontologie Francaise-Terrains Jurassiques,,,304,305,, 
4030,"Hyatt, A.",1866,The fossil Cephalopods of the Museum of Comparative Zoology,"Bulletin of the MCZ,","Bulletin of the MCZ,",1,5,75,,, 
1116,Frank Springer,1926,no article title available,"Smithsonian Misc.Colln.,pub.2871","Smithsonian Misc.Colln.,pub.2871",,,123,,, 
4090,"Newell, N.D. and Boyd, D.W.",1981,no article title available,Jour.Paleontology,Jour.Paleontology,55,1,62,64,, 
5638,"Pain, T. and D. Beatty",1964,A new species of freshwater gastropod mollusc of the genus <i>Saulea </i>from the Miocene of Kenya,Breviora,Breviora,212,212,1,3,Museum of Comparative Zoology, 
1415,"Bradley, J.H.",1921,The Brachiopoda of the Maquoketa of Iowa,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,64,6,506,,, 
2613,"Roemer, A.",1852,no article title available,"Palaenotographica V.III,N.2","Palaenotographica V.III,N.2",2,2,70,,, 
3724,"Rasetti, F.",1952,no article title available,Jour.Paleontology,Jour.Paleontology,26,3,446,,, 
2645,"Phleger, F.B.",1935,Some Ordovician cystids from Russia,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,76,5,193,,, 
